Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 10/22  01:00:00,955.939837411,97.4147113599,563.986591742,0.0,34.9616554283,113.312780494,375.800533727,361.4612232,5.66466996096,8.67464056631
 10/22  02:00:00,955.104984238,97.4147113599,563.066926389,0.0,34.9616554283,113.312780494,384.855010811,370.515168136,5.66466996096,8.67517271422
 10/22  03:00:00,953.105901024,97.4147113599,560.912524558,0.0,34.9616554283,113.312780494,391.736013255,377.397505213,5.66466996096,8.67383808048
 10/22  04:00:00,960.284704408,97.4147113599,557.484190288,0.0,44.4937663224,113.312780494,385.860194703,371.52122037,5.66466996096,8.6743043722
 10/22  05:00:00,959.866356339,97.4147113599,557.078219085,0.0,44.4937663224,113.312780494,399.379363921,376.542902041,14.1616749024,8.67478697724
 10/22  06:00:00,1033.86494884,97.4147113599,558.095397862,0.0,54.0258772165,176.889270242,366.682826594,321.03028349,28.3233498048,17.3291932991
 10/22  07:00:00,1029.5322937,97.4147113599,558.091785976,0.0,54.0258772165,184.38654557,368.959442046,317.800031152,42.4850247072,8.67438618722
 10/22  08:00:00,1094.89721645,97.4147113599,547.173772672,0.0,65.1572554096,220.04316451,356.543705442,291.198040494,56.6466996096,8.69896533928
 10/22  09:00:00,1074.86018523,97.4147113599,535.116619145,0.0,65.1572554096,212.545889182,326.053311092,266.139445695,42.4850247072,17.4288406903
 10/22  10:00:00,1069.32983332,97.4369892945,523.533787836,0.0,65.1572554096,220.04316451,328.010150753,239.724038495,70.808374512,17.4777377459
 10/22  11:00:00,1061.39484495,97.4758352546,515.80046379,0.0,65.1572554096,220.04316451,309.464116435,221.176651098,70.808374512,17.479090825
 10/22  12:00:00,1059.01386749,97.4990741488,515.237429605,0.0,65.1572554096,220.04316451,292.346111278,204.06104791,70.808374512,17.4766888557
 10/22  13:00:00,1054.55005299,97.4906314812,516.082443308,0.0,65.1572554096,212.545889182,237.712334147,163.591528508,56.6466996096,17.4741060295
 10/22  14:00:00,1059.10901551,97.5060608874,516.706644137,0.0,65.1572554096,212.545889182,186.776483457,126.816088349,42.4850247072,17.475370401
 10/22  15:00:00,1066.61272372,97.5154589402,521.204612956,0.0,65.1572554096,212.545889182,185.76473283,111.64136514,56.6466996096,17.4766680804
 10/22  16:00:00,1047.84668722,97.5384882791,526.012222551,0.0,65.1572554096,220.04316451,203.060747096,100.61273144,84.9700494144,17.477966242
 10/22  17:00:00,995.710237745,97.4964863678,522.476553373,0.0,54.0258772165,184.38654557,220.781434275,118.383429694,84.9700494144,17.4279551664
 10/22  18:00:00,961.283375624,97.4738392508,514.77327207,0.0,44.4937663224,163.454314868,262.928638082,169.283684774,84.9700494144,8.67490389384
 10/22  19:00:00,960.75733454,97.4657007532,514.52261857,0.0,44.4937663224,155.95703954,250.445122733,185.125835949,56.6466996096,8.6725871748
 10/22  20:00:00,929.978898475,97.4605772221,514.976768404,0.0,44.4937663224,124.558693486,280.272793917,214.952069935,56.6466996096,8.67402437225
 10/22  21:00:00,930.083483406,97.4549706601,515.195576387,0.0,44.4937663224,124.558693486,270.832436983,219.672913487,42.4850247072,8.67449878854
 10/22  22:00:00,920.263948211,97.4455334137,515.341217363,0.0,34.9616554283,124.558693486,283.532598739,237.880605866,28.3233498048,17.3286430683
 10/22  23:00:00,921.466362504,97.4343911613,515.400201585,0.0,34.9616554283,124.558693486,271.052793449,248.217014056,14.1616749024,8.67410449014
 10/22  24:00:00,907.422744586,97.4235494433,514.85207914,0.0,34.9616554283,113.312780494,281.944984831,267.605731212,5.66466996096,8.67458365808
 10/23  01:00:00,916.775757589,97.4160066282,513.908425706,0.0,46.0930336215,113.312780494,299.042909904,284.703036041,5.66466996096,8.67520390188
 10/23  02:00:00,915.292808549,97.4147113599,513.415281444,0.0,46.0930336215,113.312780494,317.962549393,303.62397653,5.66466996096,8.67390290234
 10/23  03:00:00,915.007901902,97.4147113599,513.611805947,0.0,46.0930336215,113.312780494,331.53565146,317.196600065,5.66466996096,8.67438143438
 10/23  04:00:00,1004.15024724,97.4147113599,512.971543686,0.0,100.150657288,148.969399434,329.556314417,315.216764521,5.66466996096,8.67487993505
 10/23  05:00:00,1005.06162299,98.8405228012,512.084414567,0.0,100.150657288,149.894399434,533.103389318,510.266325985,14.1616749024,8.67538843052
